profile,strategy,acc_mean
extract-frames,Best-Acc,90.47
extract-frames,Lowest-Latency,84.30999999999999
extract-frames,Random,85.30999999999999
extract-frames,Round-Robin,85.714
extract-frames,SLO-first,89.886
object-det,Best-Acc,90.47
object-det,Lowest-Latency,84.998
object-det,Random,85.14399999999999
object-det,Round-Robin,85.976
object-det,SLO-first,89.886
prepare-ds,Best-Acc,90.47
prepare-ds,Lowest-Latency,85.57199999999999
prepare-ds,Random,85.402
prepare-ds,Round-Robin,87.30999999999999
prepare-ds,SLO-first,89.01
